施策番号,ISS区分,施策名,部門,担当者,開発計画金額,着地見込み額,実績,組替有無
2025-01-001,システムISS,クラウドNW統合管理施策,デジタル技術,渡辺直樹,70.0,24.0,0.0,組替済
2025-01-002,システムISS,AIトラフィック分析基盤構築,NW技術部門,渡辺直樹,27.0,14.0,0.0,組替済
2025-01-003,建物ISS,生成AI活用業務効率化施策,ビジネスプロセス部門,山本彩,136.0,85.0,45.0,組替無
2025-01-004,その他ISS,AI需要予測モデル高度化,デジタル技術,佐藤太郎,165.0,161.0,158.0,組替済
2025-01-005,建物ISS,AIトラフィック分析基盤構築,ビジネスプロセス部門,中村亮,39.0,13.0,0.0,組替済
2025-01-006,建物ISS,データセンタNW刷新施策,デジタル技術,小林大輔,164.0,132.0,5.0,組替済
2025-01-007,システムISS,生成AI活用業務効率化施策,ビジネスプロセス部門,高橋健,147.0,18.0,17.0,組替済
2025-01-008,システムISS,データセンタNW刷新施策,NW技術部門,鈴木一郎,128.0,66.0,44.0,組替済
2025-01-009,システムISS,AI需要予測モデル高度化,デジタル技術,佐藤太郎,14.0,9.0,6.0,組替無
2025-01-010,システムISS,AI需要予測モデル高度化,アクセス技術部門,渡辺直樹,130.0,40.0,34.0,組替済
2025-01-011,研究ISS,クラウドNW統合管理施策,NW技術部門,加藤真由,11.0,5.0,2.0,組替済
2025-01-012,研究ISS,クラウドNW統合管理施策,クラウドサーバ部門,中村亮,102.0,21.0,13.0,組替済
2025-01-013,建物ISS,AIトラフィック分析基盤構築,デジタル技術,中村亮,133.0,118.0,53.0,組替済
2025-01-014,研究ISS,NW仮想化検証基盤整備,デジタル技術,高橋健,112.0,47.0,31.0,組替済
2025-01-015,建物ISS,AIトラフィック分析基盤構築,アクセス技術部門,伊藤誠,125.0,112.0,29.0,組替済
2025-01-016,研究ISS,AI需要予測モデル高度化,技術戦略部門,鈴木一郎,195.0,132.0,96.0,組替済
2025-01-017,建物ISS,AI需要予測モデル高度化,クラウドサーバ部門,伊藤誠,28.0,13.0,5.0,組替無
2025-01-018,研究ISS,データセンタNW刷新施策,ビジネスプロセス部門,中村亮,153.0,1.0,1.0,組替済
2025-01-019,システムISS,5GコアNW最適化施策,アクセス技術部門,山本彩,114.0,34.0,3.0,組替無
2025-01-020,システムISS,データセンタNW刷新施策,アクセス技術部門,中村亮,125.0,95.0,68.0,組替無
2025-01-021,研究ISS,NW仮想化検証基盤整備,クラウドサーバ部門,渡辺直樹,68.0,43.0,25.0,組替済
2025-01-022,研究ISS,データセンタNW刷新施策,技術戦略部門,中村亮,50.0,7.0,4.0,組替済
2025-01-023,研究ISS,クラウドNW統合管理施策,ビジネスプロセス部門,加藤真由,127.0,84.0,4.0,組替無
2025-01-024,建物ISS,NW仮想化検証基盤整備,デジタル技術,小林大輔,194.0,165.0,88.0,組替無
2025-01-025,その他ISS,AI需要予測モデル高度化,クラウドサーバ部門,高橋健,23.0,23.0,3.0,組替無
2025-01-026,システムISS,クラウドNW統合管理施策,技術戦略部門,鈴木一郎,44.0,12.0,12.0,組替済
2025-01-027,研究ISS,データセンタNW刷新施策,技術戦略部門,中村亮,130.0,51.0,36.0,組替済
2025-01-028,その他ISS,データセンタNW刷新施策,クラウドサーバ部門,佐藤太郎,32.0,16.0,14.0,組替無
2025-01-029,システムISS,AI需要予測モデル高度化,クラウドサーバ部門,佐藤太郎,198.0,145.0,110.0,組替済
2025-01-030,研究ISS,データセンタNW刷新施策,ビジネスプロセス部門,山本彩,118.0,45.0,9.0,組替済
2025-01-031,その他ISS,生成AI活用業務効率化施策,NW技術部門,田中美咲,131.0,30.0,17.0,組替無
